Account Number : ,,,100711693 - 100712887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agent Name : ,,,,,FCMB - #020 - AGO IWOYE - AGO-IWOYE CASH CENTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Legacy ID : ,,,,,654015,,,,,,,,,,,,,,,,,,,,,020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Store Number : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/19,2249329889,,,,,85897329,,,,MT,,REC,,,,THA,,,,,NGA,,,11.66611896015,,,,,,11/08/19,,,6.10,,,,trn,,,,,"(154,009.44)",,,0.00,,,,,,,,0.00,,,,,,,,0.00,,,,,,,,"(154,009.44)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,,,11/12/19,,,,,,,stl,,,,,(433.83),,,0.00,,,,,,,,0.00,,,,,,,,0.00,,,,,,,,(433.83),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/19,2250221295,,,,,19326172,,,,MT,,REC,,,,THA,,,,,NGA,,,11.68916694110,,,,,,11/10/19,,,6.10,,,,trn,,,,,"(68,448.67)",,,0.00,,,,,,,,0.00,,,,,,,,0.00,,,,,,,,"(68,448.67)",
,,,,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,,,11/12/19,,,,,,,,,,,,(192.81),,,0.00,,,,,,,,0.00,,,,,,,,0.00,,,,,,,,(192.81),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/19,2250285473,,,,,54911875,,,,MT,,REC,,,,LBN,,,,,NGA,,,355.00000000000,,,,,,11/11/19,,,5.50,,,,trn,,,,,"(100,642.50)",,,0.00,,,,,,,,0.00,,,,,,,,0.00,,,,,,,,"(100,642.50)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,,,11/12/19,,,,,,,stl,,,,,(283.50),,,0.00,,,,,,,,0.00,,,,,,,,0.00,,,,,,,,(283.50),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100711693 - 100712887,,,,,,,,,,,,,,,,,,Account Total:,,,,,,,,,,Receive,,,,,,,3,,,,,,,"(323,100.61)",,,0.00,,,,,,,,0.00,,,,,,0.00,,,,,,,"(323,100.61)",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(910.14),,,0.00,,,,,,,,0.00,,,,,,0.00,,,,,,,(910.14),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Account Net Due : ,,,,,,(910.14),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
