EntryID	setDateUSYear	setDateUSMonth	setDateUSDay	setDateLOCYear	setDateLOCMonth	setDateLOCDay	RepDateYear	RepDateMonth	RepDateDay	Direction	Account	LocationName	Location_ID	Status	LOCCurrencyCode	ShareOfChargesUSD	ShareOfFXUSD	ShareOfChargesLOC	ShareOfFXLOC	SubAgentCommFXUSD	SubAgentCommChargesUSD	SubAgentCommFXLOC	SubAgentCommChargesLOC	SendPayIndicator	MTCN
796265	2019	8	27	2019	8	27	2019	8	27	O	ADH150777	FCMB - #058 - IBADAN BODIJA BRANCH	106	S	NGN	2.79	0	991.5	-1	0	0	0	0	S	2557084817
796308	2019	8	27	2019	8	27	2019	8	27	I	ADH151031	FCMB - #094 - AKWA - AWKA BRANCH	124	S	NGN	2.7	0	958.5	0	0	0	0	0	P	0595816012
796204	2019	8	27	2019	8	27	2019	8	27	I	ADH150162	FCMB - #007 - IKEJA - IKEJA BRANCH	9	S	NGN	1.18	0	418.9	0	0	0	0	0	P	7055172357
796401	2019	8	27	2019	8	27	2019	8	27	I	ADH153099	UNKNOWN	-1	S	NGN	1.8	0	639	0	0	0	0	0	P	6296363372
796326	2019	8	27	2019	8	27	2019	8	27	I	ADH151459	FCMB - #136 - IJEBU ODE - IJEBU ODE 2	172	S	NGN	0.88	0	312.4	0	0	0	0	0	P	2391353550
796287	2019	8	27	2019	8	27	2019	8	27	I	ADH150876	FCMB - #085 - OWERRI - OWERRI BRANCH	118	S	NGN	1.61	0	571.55	0	0	0	0	0	P	8981242378
796229	2019	8	27	2019	8	27	2019	8	27	I	ADH150470	FCMB - #020 - AGO IWOYE - AGO-IWOYE CASH	95	S	NGN	1.8	0	639	0	0	0	0	0	P	2911002650
796345	2019	8	27	2019	8	27	2019	8	27	I	ADH152175	FCMB - #234 - WARRI - WARRI AIRPORT ROAD	191	S	NGN	1.18	0	418.9	0	0	0	0	0	P	1182967654
796337	2019	8	27	2019	8	27	2019	8	27	I	ADH151679	UNKNOWN	-1	S	NGN	1	0	355	0	0	0	0	0	P	6333724519
796232	2019	8	27	2019	8	27	2019	8	27	I	ADH150492	FCMB - #014 - ABEOKUTA - ABEOKUTA BRANCH	180	S	NGN	1.26	0	447.3	0	0	0	0	0	P	4991874263
796395	2019	8	27	2019	8	27	2019	8	27	I	ADH152878	FCMB - #257 - UGHELLI - UGHELLI BRANCH	252	S	NGN	0.98	0	347.9	0	0	0	0	0	P	6106829388
796338	2019	8	27	2019	8	27	2019	8	27	O	ADH151855	UNKNOWN	-1	S	NGN	6.34	0	2251.15	-0.35	0	0	0	0	S	8440753859
796397	2019	8	27	2019	8	27	2019	8	27	I	ADH152878	FCMB - #257 - UGHELLI - UGHELLI BRANCH	252	S	NGN	0.74	0	262.7	0	0	0	0	0	P	7025299196
796218	2019	8	27	2019	8	27	2019	8	27	I	ADH150360	FCMB - #009 - BENIN CITY - BENIN BRANCH	13	S	NGN	3.99	0	1416.45	0	0	0	0	0	P	8574531230
796385	2019	8	27	2019	8	27	2019	8	27	I	ADH152713	FCMB - #267 - UMUAHIA - UMUAHIA BRANCH	245	S	NGN	1.73	0	614.15	0	0	0	0	0	P	8434642422
796198	2019	8	27	2019	8	27	2019	8	27	I	ADH150029	FCMB - #001 - LAGOS - HEAD OFFICE BRANCH	6	S	NGN	1.8	0	639	0	0	0	0	0	P	7296504071
796371	2019	8	27	2019	8	27	2019	8	27	I	ADH152472	FCMB - #148 - IBADAN - CHALLENGE BRANCH	203	S	NGN	1.8	0	639	0	0	0	0	0	P	6696142887
796224	2019	8	27	2019	8	27	2019	8	27	I	ADH150403	FCMB - #042 - UYO - ORON ROAD BRANCH UYO	88	S	NGN	0.29	0	102.95	0	0	0	0	0	P	2954130262
796408	2019	8	27	2019	8	27	2019	8	27	I	ADH470998	UNKNOWN	-1	S	NGN	1.49	0	528.95	0	0	0	0	0	P	0491594488
796356	2019	8	27	2019	8	27	2019	8	27	I	ADH152241	FCMB - #153 - ILORIN - ILORIN AZEEZ ATTA	270	S	NGN	1.23	0	436.65	0	0	0	0	0	P	3387630857
796294	2019	8	27	2019	8	27	2019	8	27	I	ADH150898	FCMB - #087 - MATORI - MATORI BRANCH	112	S	NGN	1.8	0	639	0	0	0	0	0	P	8381260088
796267	2019	8	27	2019	8	27	2019	8	27	I	ADH150777	FCMB - #058 - IBADAN BODIJA BRANCH	106	S	NGN	1.8	0	639	0	0	0	0	0	P	2037360504
796268	2019	8	27	2019	8	27	2019	8	27	I	ADH150777	FCMB - #058 - IBADAN BODIJA BRANCH	106	S	NGN	0.83	0	294.65	0	0	0	0	0	P	4026377773
796372	2019	8	27	2019	8	27	2019	8	27	I	ADH152472	FCMB - #148 - IBADAN - CHALLENGE BRANCH	203	S	NGN	1.8	0	639	0	0	0	0	0	P	7453591336
796391	2019	8	27	2019	8	27	2019	8	27	I	ADH152757	FCMB - #238 - ASABA - ASABA NNEBISI ROAD	258	S	NGN	2.75	0	976.25	0	0	0	0	0	P	0957279590
796334	2019	8	27	2019	8	27	2019	8	27	I	ADH151635	FCMB - #197 - KAKURI	217	S	NGN	1.8	0	639	0	0	0	0	0	P	2365277434
796312	2019	8	27	2019	8	27	2019	8	27	O	ADH151130	FCMB - #112 - ABAKALIKI -  ABAKILIKI BRANCH	138	S	NGN	2.79	0	991.5	-0.45	0	0	0	0	S	6104628901
796320	2019	8	27	2019	8	27	2019	8	27	I	ADH151196	FCMB - #114 - AGEGE - AGEGE BRANCH	140	S	NGN	0.45	0	159.75	0	0	0	0	0	P	7397182212
796377	2019	8	27	2019	8	27	2019	8	27	I	ADH152571	FCMB - #279 - AKURE OSHINLE	269	S	NGN	3.6	0	1278	0	0	0	0	0	P	7457671676
796285	2019	8	27	2019	8	27	2019	8	27	I	ADH150876	FCMB - #085 - OWERRI - OWERRI BRANCH	118	S	NGN	1.8	0	639	0	0	0	0	0	P	4835113754
796388	2019	8	27	2019	8	27	2019	8	27	O	ADH152724	UNKNOWN	-1	S	NGN	2.79	0	991.5	0.4	0	0	0	0	S	1210368060
796379	2019	8	27	2019	8	27	2019	8	27	I	ADH152670	FCMB - #163 - BADAGRY - OJO ALABA BRANCH	250	S	NGN	2.95	0	1047.25	0	0	0	0	0	P	1518274503
796387	2019	8	27	2019	8	27	2019	8	27	I	ADH152713	FCMB - #267 - UMUAHIA - UMUAHIA BRANCH	245	S	NGN	1.8	0	639	0	0	0	0	0	P	4732894861
796276	2019	8	27	2019	8	27	2019	8	27	I	ADH150809	FCMB - #079 - SURULERE - ADENIRAN OGUNSA	101	S	NGN	1.69	0	599.95	0	0	0	0	0	P	4905771619
796409	2019	8	27	2019	8	27	2019	8	27	I	ADH470998	UNKNOWN	-1	S	NGN	3.25	0	1153.75	0	0	0	0	0	P	2948268509
796214	2019	8	27	2019	8	27	2019	8	27	I	ADH150294	FCMB - #047 -  YENEGOA BRANCH	68	S	NGN	3.4	0	1207	0	0	0	0	0	P	4896372145
796406	2019	8	27	2019	8	27	2019	8	27	I	ADH153154	UNKNOWN	-1	S	NGN	2.88	0	1022.4	0	0	0	0	0	P	5487457414
796336	2019	8	27	2019	8	27	2019	8	27	I	ADH151635	FCMB - #197 - KAKURI	217	S	NGN	1.73	0	614.15	0	0	0	0	0	P	2316938205
796307	2019	8	27	2019	8	27	2019	8	27	I	ADH150986	FCMB - #095 - LEKKI - LEKKI 2 BRANCH	123	S	NGN	2.88	0	1022.4	0	0	0	0	0	P	6966857061
796348	2019	8	27	2019	8	27	2019	8	27	I	ADH152175	FCMB - #234 - WARRI - WARRI AIRPORT ROAD	191	S	NGN	2.35	0	834.25	0	0	0	0	0	P	5607194981
