PRIMROSE TOWER 17A TINIBU STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAGOS, Lagos",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send  Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement Currency : ,,,,USD,,,Transaction Currency : ,,,,,,NGN,,,,,,,,,,,,,,,
,,,,,,,,,Orig,Rcv,,,,,,,FX,,,,,,,Fx Rev,,,,
Tran Date,,Tran Id,,,,Ref #,,Prod,Cntry,Cntry,,FX Rate,,,,FX Date,Margin,,,Base Amt,Fee Amt,,,Share Amt,Commission Amt,,,Total
,,,,,,,,,,,,.00281690141,,,,12/10/2019,,,stl,0.00,0.00,,0.00,,,0.17,,0.17
Daily Total : ,,,,,,,,,,,,,,,,,,2,,"427,000.00","7,800.00",,"(1,308.00)",,,"(1,268.40)","(2,576.40)",
,,,,,,,,,,,,,,,,,,,,"1,202.82",21.97,,(3.68),,,(3.58),(7.26),
12/12/2019,,2259731944,,,,31533130,,MT,NGA,CAN,,.00371098592,,,,12/12/2019,,,trn,"181,000.00","9,500.00",,0.00,,,"(1,710.00)",,"(1,710.00)"
,,,,,,,,,,,,.00281690141,,,,12/12/2019,,,stl,509.86,26.76,,0.00,,,(4.82),,(4.82)
12/12/2019,,2259731944,,,,31533130,,MT,NGA,CAN,,.00371098592,,,,12/12/2019,,,trn,0.00,0.00,,0.00,,,85.50,mk,85.50
,,,,,,,,,,,,.00281690141,,,,12/12/2019,,,stl,0.00,0.00,,0.00,,,0.24,,0.24
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"181,000.00","9,500.00",,0.00,,,"(1,624.50)","(1,624.50)",
,,,,,,,,,,,,,,,,,,,,509.86,26.76,,0.00,,,(4.58),(4.58),
Account   100711693 - 100712920 Total : ,,,,,,,,,,,,,,,,,,4,,"908,000.00","29,650.00",,"(1,308.00)",,,"(5,004.75)","(6,312.75)",
