MTCN	TransactionType	Code	PayCountry	RecCountry	Account	Location_ID	LocationName	Direction	Address	LOCCurrencyCode	RecDateUSYear	RecDateUSMonth	RecDateUSDay	RecDateLOCYear	RecDateLOCMonth	RecDateLOCDay	PayDateUSYear	PayDateUSMonth	PayDateUSDay	PayDateLOCYear	PayDateLOCMonth	PayDateLOCDay	SetDateUSYear	SetDateUSMonth	SetDateUSDay	SetDateLOCYear	SetDateLOCMonth	SetDateLOCDay	RepDateYear	RepDateMonth	RepDateDay	RecPayoutRate	PayPayoutRate	RecSettlementRate	PaySettlementRate	ClearPrincipalUSD	ClearChargesUSD	ClearFXUSD	ClearFXREC	ClearPrincipalLOC	ClearChargesLOC	ClearFXLOC	ClearPrincipalPAY	ClearChargesPAY	ClearFXPAY	RecPrincipalUSD	TotalChargesUSD	RecPrincipalLOC	RecCurrencyCode	PayCurrencyCode	RecPrincipalREC	RecPrincipalPAY	TotalChargesREC	TotalChargesPAY	ClearPrincipalREC	ClearChargesREC	TotalChargesLOC	Spread	SendPayIndicator	ProductCode	ProductGroupName	AdjustmentMTCN	AdjustmentReason	AdjustmentType	AdjustmentReasonCode	AdjustmentTypeCode	TxnStatus
2052779087	T	NGN	NIGERIA	FRANCE	ADH150393	45	FCMB - #008 - WARRI - WARRI BRANCH	I	OKUMAGBA AVENUE	NGN	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1.09979999	355	1.105341987	355	-422.54	-4.75	0	0	-150002.82	-1686.25	0	-150002.82	-1686.25	0	442.14	26.53	156959.7	EUR	NGN	400	156959.7	24	9418.15	-382.27	-4.3	9418.15	3.95	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
3935793197	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH470998	-1	UNKNOWN	I		NGN	2019	9	16	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1	355	1	355	-24.86	-1.53	0	0	-8826.19	-543.15	0	-8826.19	-543.15	0	25	8.5	8875	USD	NGN	25	8875	8.5	3017.5	-24.86	-1.53	3017.5	0.55	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
0072900197	T	NGN	NIGERIA	FRANCE	ADH150238	76	FCMB - #065 - IKEJA - MOTOR WAYS AVENUE	I	MOTORWAYS AVENUE BRANCH	NGN	2019	9	14	2019	9	14	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1.106799989	355	1.105142286	355	-63.52	-1.99	0	0	-22549.33	-706.45	0	-22549.33	-706.45	0	66.31	11.05	23540.05	EUR	NGN	60	23540.05	10	3922.75	-57.48	-1.8	3922.75	4.35	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
1109716960	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH153044	285	FCMB - #270 - OBOSI - OBOSI BRANCH	I		NGN	2019	9	16	2019	9	16	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1	355	1	355	-892.8	-2.88	0	0	-316944	-1022.4	0	-316944	-1022.4	0	900	16	319500	USD	NGN	900	319500	16	5680	-892.8	-2.88	5680	0.8	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
1260232926	T	NGN	NIGERIA	SAUDI ARABIA	ADH470998	-1	UNKNOWN	I		NGN	2019	9	16	2019	9	16	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	0.266545798	355	0.26652452	355	-199.91	-3.12	0	0	-70968	-1107.6	0	-70968	-1107.6	0	213.22	17.32	75693.1	SAR	NGN	800	75693.1	65	6148.6	-750.06	-11.71	6148.6	6.25	P	AVSS			UNKNOWN	UNKNOWN			S
2536854971	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH150360	13	FCMB - #009 - BENIN CITY - BENIN BRANCH	I	112 MISSION ROAD {CR}	NGN	2019	9	14	2019	9	14	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1	355	1	355	-89.5	-1.8	0	0	-31774.27	-639	0	-31774.27	-639	0	90	9.99	31950	USD	NGN	90	31950	9.99	3546.45	-89.5	-1.8	3546.45	0.55	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
4204817497	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH152713	245	FCMB - #267 - UMUAHIA - UMUAHIA BRANCH	I	UMUAHIA 10 Akanu Ibian Way {CR}	NGN	2019	9	16	2019	9	16	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1	355	1	355	-149.17	-1.8	0	0	-52957.12	-639	0	-52957.12	-639	0	150	9.99	53250	USD	NGN	150	53250	9.99	3546.45	-149.17	-1.8	3546.45	0.55	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
5740141112	T	NGN	NIGERIA	LEBANON	ADH152450	202	FCMB - #177 - IBADAN - AGODI BRANCH	I	AGODI Iwo Road (Used to be at Inaolaji Shopping Complex){CR}	NGN	2019	9	13	2019	9	13	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1	355	1	355	-140.93	-1.8	0	0	-50028.38	-639	0	-50028.38	-639	0	150	10	53250	USD	NGN	150	53250	10	3550	-140.93	-1.8	3550	6.05	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
2854791830	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH150678	213	FCMB - #028 - UYO - UYO BRANCH	I	143 ABAK ROAD {CR}	NGN	2019	9	14	2019	9	14	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1	355	1	355	-497.25	-1.8	0	0	-176523.75	-639	0	-176523.75	-639	0	500	9.99	177500	USD	NGN	500	177500	9.99	3546.45	-497.25	-1.8	3546.45	0.55	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
9608726841	T	NGN	NIGERIA	BRAZIL	ADH150809	101	FCMB - #079 - SURULERE - ADENIRAN OGUNSA	I	33 ADENIRAN OGUNSAYA STREET SURULERE	NGN	2019	9	16	2019	9	16	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	0.246234199	355	0.244691419	355	-60.14	-0.46	0	0	-21349.46	-163.3	0	-21349.46	-163.3	0	63.29	2.53	22467.95	BRL	NGN	258.67	22467.95	10.35	898.15	-245.78	-1.88	898.15	5.58	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
